id,delay_with_demand,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent_synergy,"""","{""id"" : 0,""delay_with_demand"" : 871340604.3,""station_0"" : ""Jackson Hts - Roosevelt Av_0"",""station_1"" : ""Queensboro Plaza_0"",""station_0_lat"" : 40.746644,""station_0_lon"" : -73.891338,""station_1_lat"" : 40.750582,""station_1_lon"" : -73.940202,""delay_0"" : 301205900.1,""delay_1"" : 241567386,""sum"" : 542773286.1,""synergy"" : 328567318.2},",,,,,,,,,,,
22,390081224.1,34 St - Herald Sq_0,Queensboro Plaza_0,140234090.5,251635172.7,391869263.2,-1788039.1,40.749643,-73.9878865,40.750582,-73.940202,-0.4562846,"{""id"" : 22,","""delay_with_demand"" : 390081224.107,","""station_0"" : ""34 St - Herald Sq_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 140234090.533,","""delay_1"" : 251635172.674,","""sum"" : 391869263.207,","""synergy"" : -1788039.1,","""station_0_lat"" : 40.749643,","""station_0_lon"" : -73.9878865,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.456284599962},"
23,327364417.6,125 St_3,Queensboro Plaza_0,76107032.31,251635172.7,327742205,-377787.4254,40.811109,-73.952343,40.750582,-73.940202,-0.115269691,"{""id"" : 23,","""delay_with_demand"" : 327364417.556,","""station_0"" : ""125 St_3"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 76107032.3074,","""delay_1"" : 251635172.674,","""sum"" : 327742204.981,","""synergy"" : -377787.4254,","""station_0_lat"" : 40.811109,","""station_0_lon"" : -73.952343,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.115269690524},"
24,324553830.8,96 St_0,Queensboro Plaza_0,74171566.44,251635172.7,325806739.1,-1252908.308,40.793919,-73.972323,40.750582,-73.940202,-0.384555676,"{""id"" : 24,","""delay_with_demand"" : 324553830.81,","""station_0"" : ""96 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 74171566.4436,","""delay_1"" : 251635172.674,","""sum"" : 325806739.118,","""synergy"" : -1252908.3076,","""station_0_lat"" : 40.793919,","""station_0_lon"" : -73.972323,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.384555675857},"
25,337486455.5,Fulton St_1,Queensboro Plaza_0,89515357.07,251635172.7,341150529.7,-3664074.197,40.7102996,-74.0087818,40.750582,-73.940202,-1.074034445,"{""id"" : 25,","""delay_with_demand"" : 337486455.544,","""station_0"" : ""Fulton St_1"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 89515357.0672,","""delay_1"" : 251635172.674,","""sum"" : 341150529.741,","""synergy"" : -3664074.1972,","""station_0_lat"" : 40.7102996,","""station_0_lon"" : -74.0087818,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -1.07403444455},"
26,335535377.5,Kings Hwy_0,Queensboro Plaza_0,84282687.38,251635172.7,335917860.1,-382482.6048,40.60867,-73.957734,40.750582,-73.940202,-0.113861944,"{""id"" : 26,","""delay_with_demand"" : 335535377.454,","""station_0"" : ""Kings Hwy_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 84282687.3848,","""delay_1"" : 251635172.674,","""sum"" : 335917860.059,","""synergy"" : -382482.6048,","""station_0_lat"" : 40.60867,","""station_0_lon"" : -73.957734,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.11386194373},"
27,332067335,Hoyt - Schermerhorn Sts_0,Queensboro Plaza_0,81539629.5,251635172.7,333174802.2,-1107467.192,40.688484,-73.985001,40.750582,-73.940202,-0.332398244,"{""id"" : 27,","""delay_with_demand"" : 332067334.983,","""station_0"" : ""Hoyt - Schermerhorn Sts_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 81539629.5011,","""delay_1"" : 251635172.674,","""sum"" : 333174802.175,","""synergy"" : -1107467.1921,","""station_0_lat"" : 40.688484,","""station_0_lon"" : -73.985001,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.332398244066},"
28,328445030.8,34 St - Penn Station_0,Queensboro Plaza_0,81124382.45,251635172.7,332759555.1,-4314524.326,40.750373,-73.991057,40.750582,-73.940202,-1.296589162,"{""id"" : 28,","""delay_with_demand"" : 328445030.794,","""station_0"" : ""34 St - Penn Station_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 81124382.4464,","""delay_1"" : 251635172.674,","""sum"" : 332759555.12,","""synergy"" : -4314524.3264,","""station_0_lat"" : 40.750373,","""station_0_lon"" : -73.991057,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -1.29658916176},"
29,327826898.7,Fulton St_0,Queensboro Plaza_0,78639689.66,251635172.7,330274862.3,-2447963.597,40.70973533,-74.006908,40.750582,-73.940202,-0.741189801,"{""id"" : 29,","""delay_with_demand"" : 327826898.734,","""station_0"" : ""Fulton St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 78639689.6565,","""delay_1"" : 251635172.674,","""sum"" : 330274862.331,","""synergy"" : -2447963.5965,","""station_0_lat"" : 40.7097353333,","""station_0_lon"" : -74.006908,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.741189801496},"
30,327186262.3,W 4 St_0,Queensboro Plaza_0,76243580.24,251635172.7,327878752.9,-692490.6454,40.732338,-74.000495,40.750582,-73.940202,-0.211203269,"{""id"" : 30,","""delay_with_demand"" : 327186262.268,","""station_0"" : ""W 4 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 76243580.2394,","""delay_1"" : 251635172.674,","""sum"" : 327878752.913,","""synergy"" : -692490.6454,","""station_0_lat"" : 40.732338,","""station_0_lon"" : -74.000495,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.211203269272},"
31,320565475.8,Broadway-Lafayette St_0,Queensboro Plaza_0,69833172.71,251635172.7,321468345.4,-902869.5964,40.725297,-73.996204,40.750582,-73.940202,-0.28085801,"{""id"" : 31,","""delay_with_demand"" : 320565475.785,","""station_0"" : ""Broadway-Lafayette St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 69833172.7074,","""delay_1"" : 251635172.674,","""sum"" : 321468345.381,","""synergy"" : -902869.5964,","""station_0_lat"" : 40.725297,","""station_0_lon"" : -73.996204,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.280858009621},"
